Year,EAV Code,Waste Description,Number Of Companies,Amount Of Waste Generated (1000t)
2014,EAV-100915-G,"Iron, steel: Removal of crack-indicating substances",,
2014,EAV-100916-U,Waste from crack-indicating substances (oh.100915),,
2014,EAV-100999-U,Casting of iron and steel: wastes not otherwise specified,8.0,1.9
2014,EAV-101003-U,Non-ferrous metals: furnace slag,32.0,8.5
2014,EAV-101005-G,"Non-ferrous metals: casting moulds, casting sands before casting",,
2014,EAV-101006-U,Casting molds and sand before casting (without 101005),14.0,38.5
2014,EAV-101007-G,"Non-ferrous metals: casting moulds, casting sands after casting",5.0,2.3
2014,EAV-101008-U,Casting molds and sands after casting (without 101007),59.0,318.4
2014,EAV-101009-G,Non-ferrous metals: filter dust with hazardous substances,12.0,3.1
2014,EAV-101010-U,Filter dust (without 101009),13.0,9.6
2014,EAV-101011-G,Non-ferrous metals: And. particles with dangerous fabrics,,
2014,EAV-101012-U,Other particles (excluding 101011),6.0,0.7
2014,EAV-101013-G,Non-ferrous metal:Abf.v. Binding agents with hazardous St.,,
2014,EAV-101014-U,Waste binders (excluding 101013),,
2014,EAV-101015-G,Non-ferrous metals: waste from crack-indicating subst.,,
2014,EAV-101016-U,Waste from crack-indicating substances (oh.101015),,
2014,EAV-101099-U,Casting of non-ferrous metals: wastes not otherwise specified,7.0,0.3
2014,EAV-101103-U,Fiberglass waste,50.0,32.4
2014,EAV-101105-U,Glass production: particles and dust,32.0,8.6
2014,EAV-101109-G,Mixture waste with hazardous fabrics v. d. Melt,11.0,0.6
2014,EAV-101110-U,Batch waste before melting (without 101109),15.0,4.4
2014,EAV-101111-G,Glass waste in small particles and glass dust,10.0,2.6
2014,EAV-101112-U,Glass waste (without 101111),233.0,197.4
2014,EAV-101113-G,Glass polishing and glass grinding sludge,27.0,1.0
2014,EAV-101114-U,Glass polishing and glass grinding slurry (without 101113),51.0,4.1
2014,EAV-101115-G,Glass production: Solid waste from waste gas treatment,24.0,3.4
2014,EAV-101116-U,Solid waste from exhaust gas treatment (oh. 101115),15.0,3.1
2014,EAV-101117-G,"Glass production: sludges, filters. from exhaust gas tank.",,
2014,EAV-101118-U,Sludge and filter cake from exhaust gas treatment (oh.101117),4.0,0.1
2014,EAV-101119-G,Glass manufacturer: Solid Abf. a. company-owned wastewater tank,6.0,0.3
2014,EAV-101120-U,Solid waste a. operational. Waste water tank (oh.101119),6.0,0.4
2014,EAV-101199-U,Glass production: waste n.e.c.,6.0,1.9
2014,EAV-101201-U,Ceramic products: raw mixtures before firing,42.0,31.0
2014,EAV-101203-U,Ceramic products: particles and dust,55.0,7.7
2014,EAV-101205-U,"Ceramic products: slurries, filter c. a.Exhaust tank",,
2014,EAV-101206-U,Pottery Products: Discarded Forms,33.0,7.2
2014,EAV-101208-U,"Waste from ceramic products, bricks, etc.",99.0,103.4
2014,EAV-101209-G,Ceramic products: Solid waste a. Exhaust gas treatment,16.0,3.5
2014,EAV-101210-U,Solid waste from exhaust gas treatment (oh. 101209),57.0,12.1
2014,EAV-101211-G,Ceramic products: Glaze waste with heavy metals,3.0,0.1
2014,EAV-101212-U,Glaze waste (without 101211),6.0,0.3
2014,EAV-101213-U,Ceramic products: sludge (in-house waste water treatment),39.0,182.0
2014,EAV-101299-U,"Ceramic products, ceramic building materials: waste not otherwise specified",19.0,4.2
2014,EAV-101301-U,Cement etc.: Waste from raw batch before burning,4.0,101.3
2014,EAV-101304-U,"Waste from calcination, hydration from quicklime",29.0,124.3
2014,EAV-101306-U,"Cement and others: particles, dust (except 101312,101313)",50.0,202.8
2014,EAV-101307-U,"Cement among others: sludges, filter cakes from exhaust gas tanks.",,
2014,EAV-101309-G,Asbestos-containing waste a. Manufacture. v. asbestos cement,,
2014,EAV-101310-U,Waste from manufacturing v. Asbestos cement (oh.101309),,
2014,EAV-101311-U,"Composite waste (excluding 101309, 101310)",30.0,42.0
2014,EAV-101312-G,Cement etc.: Solid waste from flue gas treatment,4.0,5.3
2014,EAV-101313-U,Solid waste from exhaust gas treatment (oh. 101312),4.0,0.1
2014,EAV-101314-U,Concrete waste and concrete sludge,138.0,273.9
2014,EAV-101399-U,"Cement, gypsum, quicklime: waste n.e.s.",14.0,6.8
2014,EAV-101401-G,Crematoriums:Mercury h. Waste from gas cleaning,4.0,0.0
2014,EAV-11,Waste from chemical surface treatment,,
2014,EAV-110105-G,Surface treatment: Acid pickling solutions,617.0,155.7
2014,EAV-110106-G,Surface treatment: Acids n.e.c.,201.0,7.6
2014,EAV-110107-G,Surface treatment: Alkaline pickling solutions,572.0,40.9
2014,EAV-110108-G,Surface treatment: phosphating sludge,183.0,7.4
2014,EAV-110109-G,"Surface treatment: sludges, filter cakes w.f.st.",616.0,53.0
2014,EAV-110110-U,Sludge and filter cake (without 110109),92.0,47.4
2014,EAV-110111-G,Surface treatment: Aqueous rinsing liquid. m.f.st.,661.0,44.9
2014,EAV-110112-U,Aqueous rinsing liquids (without 110111),77.0,6.1
2014,EAV-110113-G,Surface treatment: Waste from degreasing with,116.0,7.9
2014,EAV-110114-U,waste from degreasing (without 110113),12.0,0.3
2014,EAV-110115-G,"Surface treatment: eluates, sludges a. Membrane system",3.0,0.4
2014,EAV-110116-G,Surface treatment: ion exchange resins,23.0,0.1
2014,EAV-110198-G,Surface treatment: Other waste with hazardous St.,208.0,8.2
2014,EAV-110199-U,Surface treatment: waste n.e.c.,10.0,10.6
2014,EAV-110202-G,Zinc hydrometallurgy sludges,7.0,157.1
2014,EAV-110203-U,Waste from the production of anodes,,
2014,EAV-110205-G,Waste from copper hydrometallurgy processes,,
2014,EAV-110206-U,Waste from process. d.Copper Hydromet.(oh.110205),,
2014,EAV-110207-G,Non-ferrous hydrometallurgy: Other Abf. m.dangerous.St.,,
2014,EAV-110299-U,Non-ferrous hydrometallurgy: wastes not otherwise specified,5.0,13.9
2014,EAV-110301-G,"Sludges, solids from hardening processes: cyanidh. waste",35.0,0.5
2014,EAV-110302-G,"Sludges, solids from hardening processes: Other wastes",56.0,1.4
2014,EAV-110501-U,Galvanization: Heart zinc,15.0,6.1
2014,EAV-110502-U,Galvanizing: zinc ash,15.0,2.2
2014,EAV-110503-G,Galvanizing: Solid waste from exhaust gas treatment,7.0,0.2
2014,EAV-110504-G,Galvanizing: Used flux,,
2014,EAV-110599-U,Galvanizing: waste n.e.c.,,
2014,EAV-12,Waste from mechanical shaping processes,,
2014,EAV-120101-U,Iron filings and turnings,2549.0,1548.7
2014,EAV-120102-U,iron dust and particles,2492.0,3109.9
2014,EAV-120103-U,Non-ferrous metal filings and turnings,1792.0,312.6
2014,EAV-120104-U,Non-ferrous metal dust and particles,1385.0,201.1
2014,EAV-120105-U,plastic shavings and turnings,490.0,58.0
2014,EAV-120106-G,Halogen-containing mineral oil-based machining oils,21.0,0.3
2014,EAV-120107-G,Halogen-free processing oils based on mineral oil,149.0,27.9
2014,EAV-120108-G,Halogenated machining emulsions and. -solutions,30.0,3.6
2014,EAV-120109-G,Halogen-free processing emulsions and solutions,4666.0,417.6
2014,EAV-120110-G,Synthetic machining oils,34.0,0.8
2014,EAV-120112-G,Used waxes and fats,622.0,9.7
2014,EAV-120113-U,Welding waste,84.0,33.1
2014,EAV-120114-G,Processing sludge containing dangerous substances,338.0,18.3
2014,EAV-120115-U,Processing sludge (without 120114),117.0,10.7
2014,EAV-120116-G,Abrasive waste (with hazardous substances),198.0,11.3
2014,EAV-120117-U,Abrasive waste (without 120116),766.0,62.2
2014,EAV-120118-G,"Oily metal sludge (grinding sludge, etc.)",670.0,47.5
2014,EAV-120119-G,Easily biodegradable machining oils,,
2014,EAV-120120-G,Used honing and abrasives with hazardous substances,79.0,3.5
2014,EAV-120121-U,Used honing and grinding materials (without 120120),434.0,13.4
2014,EAV-120199-U,"surface treatment Metals, plastics: waste not otherwise specified",187.0,128.0
2014,EAV-120301-G,Aqueous washing liquids,424.0,25.5
2014,EAV-120302-G,Waste from vapor degreasing,15.0,2.1
2014,EAV-13,Oil waste and liquid fuel waste,,
2014,EAV-130101-G,Hydraulic oils containing PCBs,6.0,0.0
2014,EAV-130104-G,Hydraulic oils: Chlorinated emulsions,,
2014,EAV-130105-G,Hydraulic oils: Non-chlorinated emulsions,136.0,5.8
2014,EAV-130109-G,Chlorinated hydraulic oils based on mineral oil,4.0,0.0
2014,EAV-130110-G,"Mineral oil-based, non-chlorinated hydraulic oils",229.0,2.5
2014,EAV-130111-G,Synthetic hydraulic oils,20.0,0.1
2014,EAV-130112-G,Easily biodegradable hydraulic oils,7.0,0.0
2014,EAV-130113-G,Other hydraulic oils,29.0,0.1
2014,EAV-130204-G,"Chlorinated engine, gear and lubricating oils",100.0,0.8
2014,EAV-130205-G,"Non-chlorinated machines, gears and. lubricating oils",5817.0,75.4
2014,EAV-130206-G,"Synthetic machine, gear and lubricating oils",64.0,0.2
2014,EAV-130207-G,Easily biodegradable. Machine and gear oils,10.0,0.0
2014,EAV-130208-G,"Other machine, gear and lubricating oils",474.0,7.9
2014,EAV-130301-G,Insulating and heat transfer oils with PCB,28.0,0.2
2014,EAV-130306-G,Chlorine. Insulating and heat transfer oils(oh.130301),4.0,0.0
2014,EAV-130307-G,Non-chlorinated insulating and heat transfer oils,148.0,4.9
2014,EAV-130308-G,Synthetic insulating and heat transfer oils,28.0,0.8
2014,EAV-130309-G,biologist easily degradable. Insulation and Heat transfer oils,,
2014,EAV-130310-G,Other insulating and heat transfer oils,26.0,0.1
2014,EAV-130401-G,Bilge oils from inland shipping,,
2014,EAV-130402-G,Bilge oils from pier drains,,
2014,EAV-130403-G,Bilge oils from other shipping,17.0,2.7
2014,EAV-130501-G,Solid waste from grit chambers and oil/water separators,237.0,17.5
2014,EAV-130502-G,Sludge from oil/water separators,1690.0,60.9
2014,EAV-130503-G,sludge from manholes,453.0,11.3
2014,EAV-130506-G,Oils from oil/water separators,53.0,2.0
2014,EAV-130507-G,Oily water from oil/water separators,356.0,21.5
2014,EAV-130508-G,"Waste mixtures from sand traps, oil/water separation.",882.0,19.0
2014,EAV-130701-G,Heating oil and diesel,128.0,0.9
2014,EAV-130702-G,Petrol,57.0,0.5
2014,EAV-130703-G,Other fuels (including mixtures),250.0,8.5
2014,EAV-130801-G,Oil waste: sludges or emulsions from desalinators,,
2014,EAV-130802-G,Waste oil: Other emulsions,462.0,11.8
2014,EAV-130899-G,Oil waste: waste n.e.c.,342.0,18.1
2014,EAV-14,"Waste from organic solvents, coolants",,
2014,EAV-140601-G,"Chlorofluorocarbons, HCFC, HFC",109.0,0.1
2014,EAV-140602-G,Other halogenated solvents and solvent mixtures.,367.0,2.4
2014,EAV-140603-G,Other solvents and solvent mixtures,3114.0,36.5
2014,EAV-140604-G,"Sludges, solid waste (halogenated solvents)",18.0,1.1
2014,EAV-140605-G,"Sludge, solid waste (other solvents)",63.0,1.9
2014,EAV-15,"Packaging waste, absorbent masses, wipes",,
2014,EAV-150101-U,Paper and cardboard packaging,13499.0,1669.4
2014,EAV-150102-U,Plastic packaging,9727.0,431.1
2014,EAV-150103-U,Wooden packaging,6912.0,446.5
2014,EAV-150104-U,packaging of metal,895.0,48.4
2014,EAV-150105-U,composite packaging,374.0,64.0
2014,EAV-15010600-U,Mixed packaging cannot be differentiated,7039.0,561.8
2014,EAV-15010601-U,Lightweight packaging (LVP),1493.0,34.0
2014,EAV-15010602-U,Mixed recyclables plus lightweight packaging,207.0,12.8
2014,EAV-150107-U,Glass packaging,932.0,96.3
2014,EAV-150109-U,Textile packaging,18.0,0.5
2014,EAV-150110-G,Packaging with residues of dangerous substances,4450.0,39.7
2014,EAV-150111-G,Metal packaging,87.0,0.6
2014,EAV-150202-G,"Absorbent and filter materials, wipes",8431.0,100.1
2014,EAV-150203-U,Absorbent and filter materials (without 150202),511.0,34.3
2014,EAV-16,Waste not included elsewhere in the inventory,,
2014,EAV-160103-U,scrap tires,685.0,57.9
2014,EAV-160104-G,Old vehicles,31.0,5.7
2014,EAV-160106-U,End-of-life vehicles without dangerous components,14.0,10.8
2014,EAV-160107-G,Old vehicles: oil filters,390.0,0.6
2014,EAV-160108-G,End-of-life vehicles: components containing mercury,10.0,0.1
2014,EAV-160109-G,End-of-life vehicles: components containing PCBs,,
2014,EAV-160110-G,End-of-life vehicles: Explosive components (e.g. from airbags),44.0,0.7
2014,EAV-160111-G,End-of-life vehicles: Brake pads containing asbestos,5.0,0.0
2014,EAV-160112-U,Brake pads (without 160111),35.0,1.8
2014,EAV-160113-G,Old vehicles: brake fluids,160.0,0.3
2014,EAV-160114-G,End-of-life vehicles: antifreeze is dangerous. fabrics,606.0,2.7
2014,EAV-160115-U,Antifreeze (without 160114),25.0,0.1
2014,EAV-160116-U,End-of-life vehicles: LPG containers,,
2014,EAV-160117-U,End-of-life vehicles: ferrous metals,269.0,413.9
2014,EAV-160118-U,End-of-life vehicles: non-ferrous metals,173.0,87.2
2014,EAV-160119-U,Old vehicles: plastics,132.0,14.1
2014,EAV-160120-U,Old vehicles: glass,121.0,3.6
2014,EAV-16012100-G,"Dangerous Components (oh.160107-160111,160113-160114)",30.0,1.2
2014,EAV-16012101-G,"Dangerous metallic components (without 160107-11,160113-14)",8.0,0.6
2014,EAV-16012102-G,"Dangerous n.metal.components(oh.160107-11,160113-14)",,
2014,EAV-16012200-U,Components not differentiable,25.0,2.4
2014,EAV-16012201-U,metallic components,58.0,5.4
2014,EAV-16012202-U,Non-metallic components,4.0,0.1
2014,EAV-160199-U,End-of-life vehicles: waste n.e.c.,29.0,0.6
2014,EAV-160209-G,transformers and Capacitors containing PCB.,254.0,0.3
2014,EAV-160210-G,Used devices containing PCB (oh.160209),22.0,0.1
2014,EAV-160211-G,Used equipment,777.0,1.5
2014,EAV-160212-G,Used equipment containing free asbestos,45.0,0.1
2014,EAV-160213-G,Used devices with dangerous Components (oh.160209-12),2047.0,19.6
2014,EAV-160214-U,Used devices (without 160209 to 160213),1814.0,21.1
2014,EAV-16021500-G,Hazardous components removed from used equipment,68.0,0.2
2014,EAV-16021501-G,Waste containing mercury,,
2014,EAV-16021502-G,circuit boards,30.0,0.3
2014,EAV-16021503-G,Toner cartridges,184.0,0.2
2014,EAV-16021504-G,Plastics with brominated flame retardants,,
2014,EAV-16021505-G,Components containing asbestos,,
2014,EAV-16021506-G,cathode ray tubes,5.0,0.0
2014,EAV-16021507-G,Gas loading lamps,9.0,0.0
2014,EAV-16021508-G,Liquid crystal displays,,
2014,EAV-16021509-G,External electrical lines,20.0,0.1
2014,EAV-16021510-G,Components containing refractory ceramic fibers,,
2014,EAV-16021511-G,Electrolytic - Capacitors,,
2014,EAV-16021512-G,Photoconductor drums containing cadmium or selenium,,
2014,EAV-16021600-U,Removed from used devices. Components (oh.160215),442.0,5.3
2014,EAV-16021601-U,External electrical lines (including cables),229.0,0.8
2014,EAV-160303-G,Bad batches: Inorganic waste with hazardous substances,73.0,4.3
2014,EAV-160304-U,Inorganic waste (excluding 160303),121.0,7.5
2014,EAV-160305-G,Bad batches: Organic waste with hazardous substances,141.0,5.1
2014,EAV-160306-U,Organic waste (without 160305),156.0,13.2
2014,EAV-160401-G,Ammunition waste,,
2014,EAV-160402-G,Fireworks waste,3.0,0.1
2014,EAV-160403-G,Other explosive waste,18.0,0.1
2014,EAV-160504-G,Gases containing dangerous substances in pressure vessels.,1389.0,1.6
2014,EAV-160505-U,Gases in pressure vessels (without 160504),52.0,0.0
2014,EAV-160506-G,Laboratory chemicals from hazardous substances,922.0,3.5
2014,EAV-160507-G,Used inorganic chemicals,1367.0,3.1
2014,EAV-160508-G,Used organic chemicals,1316.0,6.0
2014,EAV-160509-U,Used chemicals (without 160506-160508),129.0,2.4
2014,EAV-160601-G,lead-acid batteries,1888.0,19.1
2014,EAV-160602-G,~Cd-Battery Garden,191.0,0.1
2014,EAV-160603-G,Batteries containing mercury,6.0,0.0
2014,EAV-160604-U,Alkaline batteries (except 160603),454.0,0.4
2014,EAV-160605-U,Other batteries and accumulators,190.0,1.7
2014,EAV-160606-G,"Separately collected electrolytes a. batteries, rechargeable battery.",16.0,1.0
2014,EAV-160708-G,"Tanks, barrels: waste containing oil",870.0,45.7
2014,EAV-160709-G,"Tanks, barrels: waste with other hazardous St.",131.0,8.1
2014,EAV-160799-U,"Tanks, barrels: waste n.o.s.",8.0,1.7
2014,EAV-160801-U,Used catalytic converters (without 160807),38.0,0.9
2014,EAV-160802-G,Used catalyst. with dangerous transition metals,76.0,11.5
2014,EAV-160803-U,Used catalysts with transition metals,15.0,2.0
2014,EAV-160804-U,Used catalysts v. Cracking process (oh. 160807),8.0,8.5
2014,EAV-160805-G,Used catalysts with phosphoric acid,4.0,0.3
2014,EAV-160806-G,Used Fluids (Catalysts),6.0,0.7
2014,EAV-160807-G,Used catalytic converters containing dangerous substances,78.0,9.5
2014,EAV-160901-G,"Permanganate, z.B. Potassium permanganate",,
2014,EAV-160902-G,"Chromates (potassium chromate, potassium or sodium dichromate)",,
2014,EAV-160903-G,"Peroxides, e.g. hydrogen peroxide",11.0,0.0
2014,EAV-160904-G,Oxidizing substances n.e.c.,7.0,0.1
2014,EAV-161001-G,Aqueous liquid waste containing hazardous substances,190.0,20.9
2014,EAV-161002-U,Aqueous liquid waste (excluding 161001),217.0,33.0
2014,EAV-161003-G,Aqueous concentrates with dangerous substances,107.0,2.5
2014,EAV-161004-U,Aqueous concentrates (without 161003),12.0,0.7
2014,EAV-161101-G,Metallurgical refractory materials. processes,12.0,3.3
2014,EAV-161102-U,Refractory mat. from metallurg. percent (oh.161101),31.0,1.6
2014,EAV-161103-G,Other linings and fireproof materials,38.0,15.9
2014,EAV-161104-U,Fireproof material made of metallurgical material. percent (oh.161103),217.0,363.1
2014,EAV-161105-G,Nonmetallurgical refractory materials. percent,56.0,13.0
2014,EAV-161106-U,Fireproof material a. non-metallurgical process (oh.161105),128.0,25.2
2014,EAV-17,construction and demolition waste,,
2014,EAV-170101-U,Concrete,812.0,372.8
2014,EAV-170102-U,brick,291.0,51.8
2014,EAV-170103-U,tiles and ceramics,252.0,25.9
2014,EAV-170106-G,"Mixtures of o. separate fractions v. Concrete, etc.",276.0,101.5
2014,EAV-170107-U,"Mixtures of concrete, bricks, etc. (oh.170106)",2313.0,902.4
2014,EAV-170201-U,Holz,3507.0,172.6
2014,EAV-170202-U,Glas,591.0,15.2
2014,EAV-170203-U,plastic,659.0,25.9
2014,EAV-170204-G,"Glass, plastic and wood containing dangerous substances",949.0,54.8
2014,EAV-170301-G,Bitumen mixtures containing coal tar,253.0,205.4
2014,EAV-170302-U,Bitumen mixtures (without 170301),457.0,400.7
2014,EAV-170303-G,Coal tar and tar-containing products,208.0,4.0
2014,EAV-170401-U,"copper, bronze, brass",978.0,15.7
2014,EAV-170402-U,Aluminium,1605.0,62.7
2014,EAV-170403-U,Nappy,82.0,0.6
2014,EAV-170404-U,Zink,56.0,1.7
2014,EAV-170405-U,iron and Steel,3539.0,1307.3
2014,EAV-170406-U,Zinn,37.0,0.6
2014,EAV-170407-U,Mixed metals,1736.0,163.9
2014,EAV-170409-G,Metal waste with hazardous substances,93.0,18.3
2014,EAV-170410-G,"Cables hazardous to oil, coal tar, etc. Substances included",123.0,3.1
2014,EAV-170411-U,Cable (without 170410),1745.0,20.1
2014,EAV-170503-G,Soil and stones containing hazardous substances,310.0,574.4
2014,EAV-170504-U,soil and stones (without 170503),745.0,2992.4
2014,EAV-170505-G,Dredged material containing dangerous substances,7.0,0.5
2014,EAV-170506-U,dredged material (without 170505),17.0,105.4
2014,EAV-170507-G,Track ballast containing dangerous substances,17.0,29.8
2014,EAV-170508-U,Track ballast (without 170507),50.0,707.2
2014,EAV-170601-G,Insulation material containing asbestos,40.0,0.9
2014,EAV-170603-G,other insulation material,1461.0,20.7
2014,EAV-170604-U,Insulating material (without 170601 and 170603),472.0,14.4
2014,EAV-170605-G,Building materials containing asbestos,729.0,12.9
2014,EAV-170801-G,Contaminated gypsum-based building materials,9.0,0.4
2014,EAV-170802-U,Gypsum-based building materials (excluding 170801),475.0,30.5
2014,EAV-170901-G,Construction and demolition waste containing mercury,4.0,0.1
2014,EAV-170902-G,Construction and demolition waste containing PCBs,26.0,0.2
2014,EAV-170903-G,Other construction and demolition waste,117.0,4.6
2014,EAV-170904-U,Mixed construction and demolition waste (oh.170901-170903),3236.0,172.7
2014,EAV-18,Waste from medical care,,
2014,EAV-180101-U,Pointed or sharp objects (except 180103),72.0,0.9
2014,EAV-180102-U,"Body parts, organs, blood supplies (except 180103)",519.0,7.9
2014,EAV-180103-G,Waste (particular requirements from an infection prevention perspective),708.0,11.9
2014,EAV-180104-U,"Wounds, plaster casts, laundry, disposable clothing, diapers",643.0,208.1
2014,EAV-180106-G,Chemicals composed of hazardous substances,40.0,0.3
2014,EAV-180107-U,Chemicals (without 180106),21.0,0.8
2014,EAV-180108-G,cytotoxic. and cytostatic drugs for humans,501.0,5.2
2014,EAV-180109-U,Medicines (without 180108),139.0,6.7
2014,EAV-180110-G,Dental amalgam waste,,
2014,EAV-180201-U,Pointed or sharp objects (without 180202),,
2014,EAV-180202-G,Waste (particular requirements from an infection prevention perspective),57.0,1.0
2014,EAV-180203-U,Waste (without special requirements from an infection prevention point of view),40.0,2.2
2014,EAV-180205-G,Chemicals composed of hazardous substances,6.0,0.0
2014,EAV-180206-U,Chemicals (without 180205),3.0,0.0
2014,EAV-180207-G,Cytotoxic and. cytostatic drugs for animals,3.0,0.0
2014,EAV-180208-U,Medicines (without 180207),4.0,0.0
2014,EAV-19,"Waste from waste treatment plants, etc.",,
2014,EAV-190102-U,"Combustion, pyrolysis: iron parts a. rust and. boiler ash",,
2014,EAV-190105-G,"Combustion, pyrolysis: filter cake from exhaust gas treatment.",7.0,24.5
2014,EAV-190106-G,"Combustion, pyrolysis: Aqueous liquid waste from exhaust gas tank.",9.0,16.6
2014,EAV-190107-G,"Combustion, pyrolysis: solid waste a. Exhaust gas treatment",16.0,42.0
2014,EAV-190110-G,"Combustion, pyrolysis: Used activated carbon a. Exhaust gas tank",12.0,0.9
2014,EAV-190111-G,"Combustion, pyrolysis: grate, boiler ashes, slag",25.0,87.5
2014,EAV-190112-U,Grate and boiler ash as well as slag (oh.190111),43.0,483.4
2014,EAV-190113-G,"Combustion, pyrolysis: filter dust with dangerous St.",21.0,31.8
2014,EAV-190114-U,Filter dust (without 190113),6.0,11.9
2014,EAV-190115-G,"Combustion, pyrolysis: boiler dust is dangerous. fabrics",6.0,2.1
2014,EAV-190116-U,boiler dust (without 190115),,
2014,EAV-190117-G,Pyrolysis waste containing dangerous substances,4.0,1.1
2014,EAV-190118-U,Pyrolysis waste (without 190117),,
2014,EAV-190119-U,"Combustion, pyrolysis: sands from fluidized bed combustion",,
2014,EAV-190199-U,"Incineration, pyrolysis of waste: waste n.e.c.",,
2014,EAV-190203-U,Premixed waste from non-hazardous waste,6.0,0.9
2014,EAV-190204-G,Premixed waste with at least one hazardous waste,7.0,2.0
2014,EAV-190205-G,Sludges from physico-chemical treatment,209.0,33.2
2014,EAV-190206-U,sludge a. physical-chemical treatment (oh.190205),23.0,2.3
2014,EAV-190207-G,Oil and concentrates from separation processes,41.0,12.5
2014,EAV-190208-G,Liquid combustible waste with hazardous fabrics,3.0,1.1
2014,EAV-190209-G,Solid combustible waste containing hazardous substances,,
2014,EAV-190210-U,Combustible waste (excluding 190208 and 190209),,
2014,EAV-190211-G,Other waste containing dangerous substances,,
2014,EAV-19029900-U,Physics-chem. Treatment of waste: waste not otherwise specified,,
2014,EAV-19029950-U,Products resulting from waste treatment,,
2014,EAV-190304-G,as dangerous classified partially stabilized Abf.,,
2014,EAV-190305-U,Stabilized waste (excluding 190304),,
2014,EAV-190306-G,Solidified waste classified as hazardous,,
2014,EAV-190307-U,Solidified waste (excluding 190306),,
2014,EAV-190401-U,Vitrified waste,,
2014,EAV-190402-G,Filter dust and other waste from exhaust gas treatment,,
2014,EAV-190403-G,Non-vitrified solid phase,,
2014,EAV-190404-U,Aqueous liquid waste from tempering,,
2014,EAV-190501-U,Non-composted fraction of municipal waste,4.0,0.0
2014,EAV-190502-U,Non-composted fraction v. animal and plant waste,5.0,2.1
2014,EAV-190503-U,Out of specification compost,3.0,39.5
2014,EAV-19059900-U,waste not otherwise specified not differentiable,,
2014,EAV-19059901-U,Compost (to specification),6.0,1.3
2014,EAV-190603-U,Liquids from municipal waste treatment,,
2014,EAV-190604-U,Digestate/sludge from tank v.municipal waste,,
2014,EAV-190605-U,liquids from container v. animal and plant waste,,
2014,EAV-190606-U,Digestate/sludge a. Container for animal and plant waste,,
2014,EAV-190699-U,Anaerobic treatment of waste: waste n.e.c.,,
2014,EAV-190702-G,"Landfill leachate, the hazardous contains substances",,
2014,EAV-190703-U,Landfill leachate (without 190702),4.0,211.0
2014,EAV-190801-U,Sieve and rake residues,134.0,20.4
2014,EAV-190802-U,Sand trap residue,159.0,29.2
2014,EAV-190805-U,Sludge from the treatment of v. municipal waste water,,
2014,EAV-190806-G,Saturated or spent ion exchange resins,76.0,0.4
2014,EAV-190807-G,Solutions and sludges from regeneration of ion exchange.,,
2014,EAV-190808-G,Waste containing heavy metals from membrane systems,,
2014,EAV-190809-U,Fat and oil mixtures from oil separators (edible oils),220.0,14.6
2014,EAV-190810-G,Fat and oil mixtures from oil separators (oh.190809),21.0,0.4
2014,EAV-190811-G,Sludge from biological treatment of industrial wastewater,19.0,313.0
2014,EAV-190812-U,Sludge a. biological treatment of industrial waste water (oh.190811),62.0,220.6
2014,EAV-190813-G,Slurries with hazardous Substances from industrial waste water,136.0,131.3
2014,EAV-190814-U,Sludge from industrial wastewater (excluding 190813),313.0,82.0
2014,EAV-190899-U,Wastewater treatment plants: wastes n.e.c.,13.0,8.1
2014,EAV-190901-U,Solid waste from first filtration and screenings,38.0,13.9
2014,EAV-190902-U,sludge from water purification,147.0,139.2
2014,EAV-190903-U,Slurries from decarbonization,39.0,79.9
2014,EAV-190904-U,Used activated carbon,56.0,2.9
2014,EAV-190905-U,Saturated or used ion exchange resins,103.0,1.5
2014,EAV-190906-U,Solutions and sludges from regeneration of ion exchange.,4.0,0.7
2014,EAV-190999-U,Industrial water: waste n.e.c.,,
2014,EAV-191001-U,iron and steel waste,52.0,19.0
2014,EAV-191002-U,non-ferrous metal waste,22.0,2.4
2014,EAV-191003-G,Shredder light fractions and dust,,
2014,EAV-191004-U,Shredder light fractions and dust (without 191003),4.0,0.1
2014,EAV-191005-G,Other factions that are dangerous. contain substances,,
2014,EAV-191006-U,Other factions (excluding 191005),3.0,18.7
2014,EAV-191101-G,Waste oil treatment: Used filter clays,10.0,2.5
2014,EAV-191102-G,Waste oil processing: acid tars,,
2014,EAV-191103-G,Waste oil processing: Aqueous liquid waste,3.0,0.1
2014,EAV-191104-G,Waste oil processing: Abf.a.d. Fuel cleaning with bases,,
2014,EAV-191105-G,Waste oil treatment: sludge (in-house waste water treatment),9.0,0.4
2014,EAV-191106-U,Sludge from operational. Waste water treatment (oh.191105),8.0,1.2
2014,EAV-191107-G,Waste oil treatment: Waste from exhaust gas cleaning,,
2014,EAV-19119900-U,waste not otherwise specified,,
2014,EAV-19119950-U,"Base oil (starting material for lubricant), (SK)",4.0,0.0
2014,EAV-19119951-U,"Lubricant, (SS)",4.0,0.0
2014,EAV-19119952-U,middle distillate component,,
2014,EAV-19119953-U,"Light heating oil (including diesel), (HL)",,
2014,EAV-19119954-U,Fuel oil heavy component,,
2014,EAV-19119955-U,Heavy fuel oil (HS),,
2014,EAV-19120100-U,"Mechanical waste treatment: paper, cardboard not diff.",167.0,66.6
2014,EAV-19120101-U,Mechanical waste treatment: lower grades (group I),24.0,17.5
2014,EAV-19120102-U,Mechanical waste treatment: Medium grades (Group II),20.0,8.6
