Year,Sector Code,Economic Sector,EAV Code,Waste Description,Number Of Companies,Amount Of Waste Generated (1000t)
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-13,Oil waste and liquid fuel waste,1277.0,35.4
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-14,"Waste from organic solvents, coolants",545.0,14.3
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-15,"Packaging waste, absorbents, wipes",2722.0,458.7
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-16,Waste not included elsewhere in the inventory,1261.0,134.0
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-17,Construction and demolition waste,1418.0,1300.5
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-18,Waste from medical care,137.0,10.9
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-19,"Waste from waste treatment plants, etc.",399.0,894.2
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-20,Municipal waste (household waste and similar waste),2761.0,403.0
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",EAV-99,Hazardous waste,,
2014,WZ08-20-03,"Chem. And Pharma. Products, Rubber, Plastic Products",,In total,2947.0,8036.2
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-01,Waste from the extraction of mineral resources,35.0,91.4
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-02,"Waste from agriculture, forestry, etc.",40.0,0.4
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-03,"Waste from wood processing, etc.",56.0,9.7
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-04,"Waste from the leather, fur and textile industries",,
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-05,"Waste from petroleum refining, natural gas purification",8.0,0.9
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-06,Waste from inorganic chemical processes,95.0,6.8
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-07,Waste from organic chemical processes,133.0,8.6
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",262.0,17.5
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-09,Waste from the photographic industry,6.0,0.0
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-10,Waste from thermal processes,528.0,1188.1
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-11,Waste from chemical surface treatment,50.0,1.7
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-12,Waste from mechanical shaping processes,210.0,10.7
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-13,Oil waste and liquid fuel waste,437.0,19.8
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-14,"Waste from organic solvents, coolants",135.0,1.0
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-15,"Packaging waste, absorbent masses, wipes",842.0,87.9
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-16,Waste not included elsewhere in the inventory,354.0,26.8
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-17,construction and demolition waste,564.0,456.8
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-18,Waste from medical supplies,,
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-19,"Waste from waste treatment plants, etc.",99.0,105.9
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-20,Municipal waste (household waste and similar waste),897.0,107.2
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",EAV-99,Hazardous waste,,
2014,WZ08-23,"H.V.Glass, Goods, Ceramics, Processing. Of Stones And Earth",,In total,944.0,2142.2
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-01,Waste from the extraction of mineral resources,6.0,3.0
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-02,"Waste from agriculture, forestry, etc.",111.0,2.1
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-03,"Waste from woodworking, etc.",39.0,3.7
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-04,"Waste from the leather, fur and textile industries",3.0,0.1
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-05,"Waste from petroleum refining, natural gas purification",18.0,3.3
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-06,Waste from inorganic chemical processes,362.0,79.2
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-07,Waste from organic chemical processes,392.0,16.1
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-08,"Waste from MFSU from coatings, adhesives, etc.",659.0,15.7
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-09,Waste from the photographic industry,54.0,0.2
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-10,Waste from thermal processes,402.0,7203.3
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-11,Waste from chemical surface treatment,593.0,459.6
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-12,Waste from mechanical shaping processes,1521.0,2012.2
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-13,waste oil and liquid fuel waste,1157.0,60.8
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-14,"Waste from organic solvents, coolants",423.0,6.5
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-15,"Packaging waste, absorbent masses, wipes",1823.0,213.9
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-16,Waste not included elsewhere in the inventory,883.0,575.1
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-17,Construction and demolition waste,1067.0,1032.6
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-18,Waste from medical care,10.0,0.0
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-19,"Waste from waste treatment plants, etc.",310.0,255.5
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-20,Municipal waste (household waste and similar waste),1784.0,277.0
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",EAV-99,Hazardous waste,,
2014,WZ08-24-03,"Metal Production And Processing, Manufacturing V.Metal Ore.",,In total,1922.0,12219.9
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-01,Waste from the extraction of mineral resources,19.0,4.1
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-02,"Waste from agriculture, forestry, etc.",551.0,20.2
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-03,"Waste from woodworking, etc.",108.0,17.0
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-04,"Waste from the leather, fur and textile industries",32.0,7.2
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-05,"Waste from petroleum refining, natural gas purification",15.0,0.2
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-06,Waste from inorganic chemical processes,617.0,52.4
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-07,Waste from organic chemical processes,1221.0,73.5
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-08,"Waste from MFSU from coatings, adhesives, etc.",2285.0,76.3
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-09,Waste from the photographic industry,120.0,0.3
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-10,Waste from thermal processes,347.0,329.0
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-11,Waste from chemical surface treatment,884.0,76.8
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-12,Waste from mechanical shaping processes,3460.0,3869.1
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-13,waste oil and liquid fuel waste,2510.0,78.6
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-14,"Waste from organic solvents, coolants",1316.0,13.4
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-15,"Packaging waste, absorbents, wipes",4956.0,729.5
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-16,Waste not included elsewhere in the inventory,2535.0,448.1
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-17,Construction and demolition waste,2681.0,1488.5
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-18,Waste from medical supplies,46.0,0.1
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-19,"Waste from waste treatment plants, etc.",588.0,112.0
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-20,Municipal waste (household waste and similar waste),5141.0,763.8
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",EAV-99,Hazardous waste,,
2014,WZ08-26-03,"Dv Devices, Electrical And Optical Manufacturing, Vehicle Construction, Etc.",,In total,5387.0,8160.2
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-01,waste from the extraction of mineral resources,,
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-02,"Waste from agriculture, forestry, etc.",35.0,0.8
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-03,"Waste from woodworking, etc.",245.0,308.7
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-04,"Waste from the leather, fur and textile industries",29.0,3.1
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-05,"Waste from petroleum refining, natural gas purification",3.0,0.0
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-06,Waste from inorganic chemical processes,85.0,10.4
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-07,Waste from organic chemical processes,186.0,34.8
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-08,"Waste from MFSU from coatings, adhesives, etc.",338.0,6.7
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-09,Waste from the photographic industry,15.0,0.0
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-10,Waste from thermal processes,173.0,4.1
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-11,Waste from chemical surface treatment,118.0,9.7
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-12,Waste from mechanical shaping processes,370.0,42.3
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-13,Oil waste and liquid fuel waste,221.0,2.0
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-14,"Waste from organic solvents, coolants",155.0,0.9
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-15,"Packaging waste, absorbent masses, wipes",925.0,85.4
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-16,Waste not included elsewhere in the inventory,224.0,6.0
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-17,Construction and demolition waste,366.0,28.9
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-18,Waste from medical care,23.0,0.8
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-19,Waste from waste treatment plants e.g.,71.0,6.6
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-20,Municipal waste (household waste and similar waste),988.0,134.1
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,EAV-99,Hazardous waste,,
2014,WZ08-31-02,Manufacture Of Furniture And Other Goods,,In total,1059.0,685.1
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-01,Waste from the extraction of mineral resources,6.0,0.3
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-02,"Waste from agriculture, forestry, etc.",103.0,2.8
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-03,"Waste from woodworking, etc.",11.0,0.1
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-04,"Waste from the leather, fur and textile industries",,
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-05,"Waste from petroleum refining, natural gas purification",16.0,0.1
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-06,Waste from inorganic chemical processes,54.0,8.2
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-07,Waste from organic chemical processes,77.0,1.2
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-08,"Waste from MFSU from coatings, adhesives, etc.",137.0,0.1
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-09,Waste from the photographic industry,,
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-10,Waste from thermal processes,72.0,11543.4
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-11,Waste from chemical surface treatment,22.0,0.2
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-12,Waste from mechanical shaping processes,96.0,7.4
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-13,waste oil and liquid fuel waste,251.0,13.5
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-14,"Waste from organic solvents, coolants",57.0,0.1
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-15,"Packaging waste, absorbents, wipes",384.0,23.0
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-16,Waste not included elsewhere in the inventory,294.0,28.9
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-17,construction and demolition waste,318.0,1207.0
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-18,Waste from medical care,16.0,0.0
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-19,Waste from waste treatment plants e.g.,169.0,820.5
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-20,Municipal waste (household waste and similar waste),453.0,76.6
2014,WZ08-35-01,"Energy Supply, Water Supply",EAV-99,Hazardous waste,,
2014,WZ08-35-01,"Energy Supply, Water Supply",,In total,460.0,13733.3
2014,WZ08-45-04,Services,EAV-01,waste from the extraction of mineral resources,6.0,0.1
2014,WZ08-45-04,Services,EAV-02,"Waste from agriculture, forestry, etc.",774.0,68.5
2014,WZ08-45-04,Services,EAV-03,"Waste from woodworking, etc.",54.0,1.1
2014,WZ08-45-04,Services,EAV-04,"Waste from the leather, fur and textile industries",7.0,0.0
2014,WZ08-45-04,Services,EAV-05,"Waste from petroleum refining, natural gas purification",5.0,6.0
2014,WZ08-45-04,Services,EAV-06,Waste from inorganic chemical processes,250.0,3.7
2014,WZ08-45-04,Services,EAV-07,Waste from organic chemical processes,434.0,19.0
2014,WZ08-45-04,Services,EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",525.0,3.4
2014,WZ08-45-04,Services,EAV-09,Waste from the photographic industry,317.0,2.0
2014,WZ08-45-04,Services,EAV-10,Waste from thermal processes,49.0,63.6
2014,WZ08-45-04,Services,EAV-11,Waste from chemical surface treatment,123.0,1.9
2014,WZ08-45-04,Services,EAV-12,Waste from mechanical shaping processes,218.0,14.2
2014,WZ08-45-04,Services,EAV-13,waste oil and liquid fuel waste,583.0,19.6
2014,WZ08-45-04,Services,EAV-14,"Waste from organic solvents, coolants",267.0,1.5
2014,WZ08-45-04,Services,EAV-15,"Packaging waste, absorbents, wipes",2577.0,679.4
2014,WZ08-45-04,Services,EAV-16,Waste not included elsewhere in the inventory,1137.0,43.4
2014,WZ08-45-04,Services,EAV-17,Construction and demolition waste,1229.0,1761.0
2014,WZ08-45-04,Services,EAV-18,Waste from medical care,815.0,232.6
2014,WZ08-45-04,Services,EAV-19,Waste from waste treatment plants e.g.,289.0,88.3
2014,WZ08-45-04,Services,EAV-20,Municipal waste (household waste and similar waste),3184.0,1428.0
2014,WZ08-45-04,Services,EAV-99,Hazardous waste,,
2014,WZ08-45-04,Services,,In total,3222.0,4437.5
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-01,Waste from the extraction of mineral resources,,
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-02,"Waste from agriculture, forestry, etc.",197.0,377.9
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-03,"Waste from wood processing, etc.",3.0,0.0
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-04,"Waste from the leather, fur and textile industries",,
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-05,"Waste from petroleum refining, natural gas purification",3.0,0.0
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-06,Waste from inorganic chemical processes,4.0,0.0
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-07,Waste from organic chemical processes,6.0,0.1
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-08,"Waste from MFSU from coatings, adhesives, etc.",6.0,0.0
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-09,Waste from the photographic industry,,
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-10,Waste from thermal processes,4.0,0.1
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-11,Waste from chemical surface treatment,,
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-12,Waste from mechanical shaping processes,3.0,0.1
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-13,waste oil and liquid fuel waste,109.0,1.0
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-14,"Waste from organic solvents, coolants",12.0,0.0
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-15,"Packaging waste, absorbents, wipes",321.0,16.4
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-16,Waste not included elsewhere in the inventory,118.0,1.0
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-17,Construction and demolition waste,113.0,8.8
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-18,Waste from medical supplies,5.0,0.2
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-19,Waste from waste treatment plants e.g.,16.0,0.4
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-20,Municipal waste (household waste and similar waste),342.0,17.9
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",EAV-99,Hazardous waste,,
2018,WZ08-01-03,"Agriculture And Forestry, Fisheries",,In total,366.0,423.9
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-01,Waste from the extraction of mineral resources,,
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-02,"Waste from agriculture, forestry, etc.",8.0,0.2
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-03,"Waste from wood processing, etc.",,
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-04,"Waste from the leather, fur and textile industries",,
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-05,"Waste from petroleum refining, natural gas purification",,
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-06,Waste from inorganic chemical processes,10.0,0.3
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-07,Waste from organic chemical processes,10.0,0.1
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-08,"Waste from HZVA, including coatings, adhesives, etc.",17.0,0.0
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-09,Waste from the photographic industry,,
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-10,Waste from thermal processes,8.0,9.3
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-11,Waste from chemical surface treatment,6.0,0.0
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-12,Waste from mechanical shaping processes,14.0,0.5
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-13,waste oil and liquid fuel waste,37.0,3.1
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-14,"Waste from organic solvents, coolants",9.0,0.0
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-15,"Packaging waste, absorbents, wipes",45.0,2.9
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-16,Waste not included elsewhere in the inventory,32.0,13.6
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-17,Construction and demolition waste,35.0,414.4
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-18,Waste from medical supplies,,
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-19,Waste from waste treatment plants e.g.,14.0,9.0
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-20,Municipal waste (household waste and similar waste),49.0,7.5
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,EAV-99,Hazardous waste,,
2018,WZ08-05-02,Mining And Quarrying Of Stone And Earth,,In total,49.0,463.3
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-01,waste from the extraction of mineral resources,,
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-02,"Waste from agriculture, forestry, etc.",1086.0,5015.5
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-03,"Waste from wood processing, etc.",5.0,0.1
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-04,"Waste from the leather, fur and textile industries",,
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-05,"Waste from petroleum refining, natural gas purification",11.0,0.0
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-06,Waste from inorganic chemical processes,102.0,27.1
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-07,Waste from organic chemical processes,135.0,25.0
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-08,"Waste from MFSU from coatings, adhesives, etc.",142.0,0.2
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-09,Waste from the photographic industry,,
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-10,Waste from thermal processes,43.0,82.3
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-11,Waste from chemical surface treatment,26.0,0.1
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-12,Waste from mechanical shaping processes,113.0,2.1
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-13,Oil waste and liquid fuel waste,519.0,5.3
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-14,"Waste from organic solvents, coolants",128.0,0.1
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-15,"Packaging waste, absorbents, wipes",1342.0,543.8
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-16,Waste not included elsewhere in the inventory,438.0,3.1
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-17,Construction and demolition waste,642.0,127.5
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-18,Waste from medical supplies,12.0,0.1
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-19,Waste from waste treatment plants e.g.,263.0,102.3
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-20,Municipal waste (household waste and similar waste),1379.0,383.3
2018,WZ08-10-01,Food Industry And Tobacco Processing,EAV-99,Hazardous waste,,
2018,WZ08-10-01,Food Industry And Tobacco Processing,,In total,1451.0,6318.3
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-01,waste from the extraction of mineral resources,,
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-02,"Waste from agriculture, forestry, etc.",8.0,0.3
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-03,"Waste from woodworking, etc.",7.0,0.1
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-04,"Waste from the leather, fur and textile industries",248.0,94.4
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-05,"Waste from petroleum refining, natural gas purification",,
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-06,Waste from inorganic chemical processes,28.0,0.1
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-07,Waste from organic chemical processes,91.0,11.8
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-08,"Waste from MFSU from coatings, adhesives, etc.",96.0,3.7
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-09,Waste from the photographic industry,,
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-10,Waste from thermal processes,10.0,2.4
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-11,Waste from chemical surface treatment,14.0,0.3
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-12,Waste from mechanical shaping processes,52.0,0.6
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-13,waste oil and liquid fuel waste,128.0,2.4
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-14,"Waste from organic solvents, coolants",39.0,0.4
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-15,"Packaging waste, absorbents, wipes",468.0,55.0
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-16,Waste not included elsewhere in the inventory,122.0,1.9
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-17,construction and demolition waste,200.0,7.2
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-18,Waste from medical supplies,,
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-19,"Waste from waste treatment plants, etc.",49.0,11.3
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-20,Municipal waste (household waste and similar waste),467.0,37.8
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",EAV-99,Hazardous waste,,
2018,WZ08-13-03,"Textile And Clothing Industry, Leather Industry",,In total,503.0,229.7
2018,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-01,waste from the extraction of mineral resources,,
2018,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-02,"Waste from agriculture, forestry, etc.",12.0,0.1
2018,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-03,"Waste from wood processing, etc.",198.0,3202.5
2018,WZ08-16,"H.V. Wood, Wicker, Basket And Cork Goods (Without Furniture)",EAV-04,"Waste from the leather, fur and textile industries",,
